restaurant_id,id_place,url_place,title,category,address,phone_number,complete_phone_number,domain,url,stars,reviews,district,lat,long,category_clean,is_high_volume,distance_to_center_km,title_length,has_anomaly,popularity_score,quality_tier,review_tier
1,ChIJ41RbR-W3BZERtC40lE27kJI,https://www.google.com/maps/place/?q=place_id:ChIJ41RbR-W3BZERtC40lE27kJI,La 73,Restaurante,"Av. el Sol 175, Barranco 15063",(01) 2470780,+51 1 2470780,instagram.com,https://instagram.com/la73_barranco?utm_medium=copy_link,4.4,1741,Barranco,-12.1396613,-77.02321560000001,Restaurante,False,10.577792626428725,5,False,5.63,Muy Bueno,Muy Alto
2,ChIJq6DzbfK3BZERzmnElUR7PUM,https://www.google.com/maps/place/?q=place_id:ChIJq6DzbfK3BZERzmnElUR7PUM,Pan Sal Aire,Restaurante,"Av. Almte. Miguel Grau 320, , Lima, Barranco 15063",951 118 993,+51 951 118 993,delivery.pansalaire.pe,https://delivery.pansalaire.pe/,4.6,2229,Barranco,-12.1482801,-77.0210874,Restaurante,False,11.562658416512132,12,False,5.84,Excelente,Muy Alto
3,ChIJQwRnc-23BZERpyhQvLJVMTQ,https://www.google.com/maps/place/?q=place_id:ChIJQwRnc-23BZERpyhQvLJVMTQ,Restaurante Javier,Restaurante peruano,"Bajada de Baños 408, Barranco 15063",984 799 808,+51 984 799 808,www.restaurantejavier.pe,https://www.restaurantejavier.pe/,4.3,6810,Barranco,-12.1498312,-77.0232278,Peruano,True,11.68460687256159,18,False,6.11,Muy Bueno,Muy Alto
4,ChIJbYWvNb63BZER3Mb9WXTrobo,https://www.google.com/maps/place/?q=place_id:ChIJbYWvNb63BZER3Mb9WXTrobo,Nuestro Bistro,Restaurante,"Jr. Colina 107, Barranco 15063",948 721 346,+51 948 721 346,www.instagram.com,https://www.instagram.com/nuestro_bistro/,4.9,122,Barranco,-12.1459809,-77.02204569999999,Restaurante,False,11.290995411055288,14,False,4.86,Excelente,Medio
5,ChIJQWG-5e63BZERioL90gT0vZ8,https://www.google.com/maps/place/?q=place_id:ChIJQWG-5e63BZERioL90gT0vZ8,Cala Restaurante & Lounge,Restaurante,"Circuito de Playas, Barranco 15063",998 247 326,+51 998 247 326,No disponible,No disponible,4.4,8900,Barranco,-12.144648,-77.025753,Restaurante,True,11.068469909335928,25,False,6.28,Muy Bueno,Muy Alto
6,ChIJ0wxpzfa3BZERgVbF9Qv3cGk,https://www.google.com/maps/place/?q=place_id:ChIJ0wxpzfa3BZERgVbF9Qv3cGk,Siete Restaurante,Restaurante,"Jirón Domeyer 260, Barranco 04",966 320 855,+51 966 320 855,7restaurante.mesa247.pe,https://7restaurante.mesa247.pe/,4.6,547,Barranco,-12.1477149,-77.0224911,Restaurante,False,11.469668393507018,17,False,5.28,Excelente,Alto
7,ChIJ9w-dbfK3BZERpQ6Di3pRb5E,https://www.google.com/maps/place/?q=place_id:ChIJ9w-dbfK3BZERpQ6Di3pRb5E,Arlotia,Restaurante vasco,"Av. Almte. Miguel Grau 340, Barranco 15047",(01) 2562269,+51 1 2562269,www.facebook.com,https://www.facebook.com/restaurante.arlotia,4.5,460,Barranco,-12.1481917,-77.0211583,Vasco,False,11.551422535965798,7,False,5.15,Muy Bueno,Medio
8,ChIJtVBP-e-3BZEREmoOQ84Hgkw,https://www.google.com/maps/place/?q=place_id:ChIJtVBP-e-3BZEREmoOQ84Hgkw,La Cuadra de Salvador - Steakhouse,Restaurante especializado en filetes,"Jirón Centenario 105, Barranco 15063",989 817 299,+51 989 817 299,www.lacuadradesalvador.com,http://www.lacuadradesalvador.com/,4.5,2337,Barranco,-12.14135,-77.0225018,Restaurante,False,10.777590955948238,34,False,5.8,Muy Bueno,Muy Alto
9,ChIJUbuuDPC3BZEROQSOuFapNGY,https://www.google.com/maps/place/?q=place_id:ChIJUbuuDPC3BZEROQSOuFapNGY,El Rincón de Siempre,Parrilla,"Av. Nicolás de Piérola 215, Barranco 15063",992 413 587,+51 992 413 587,elrincondesiempre.pe,http://elrincondesiempre.pe/,4.7,1090,Barranco,-12.141335000000002,-77.02036249999999,Parrilla,False,10.828102985871514,20,False,5.62,Excelente,Muy Alto
10,ChIJ2TD8oO23BZER9tDC0cEFbp0,https://www.google.com/maps/place/?q=place_id:ChIJ2TD8oO23BZER9tDC0cEFbp0,La Posada Del Mirador,Pub restaurante,"C. la Ermita 104, Barranco 15063",(01) 2561796,+51 1 2561796,www.laposadadelmirador.com,http://www.laposadadelmirador.com/,4.1,2197,Barranco,-12.1495758,-77.0233933,Bar/Pub,False,11.6533431863753,21,False,5.54,Muy Bueno,Muy Alto
